SPI,IQ,Package(LPA)
7.5,156,8.62
6.62,92,4.1
6.23,149,6.2
6.08,157,5.89
9.33,96,8.73
7.22,121,5.76
7.73,103,5.6
7.17,109,5.45
7.82,142,8.27
8.37,83,5.68
8.43,93,6.71
8.74,115,8.58
6.49,119,4.84
7.25,121,5.44
8.19,94,6.95
6.35,95,3.04
6.18,106,2.42
9.31,108,9.16
7.12,123,6.05
6.3,158,5.81
9.09,95,8.95
9.09,85,8.4
7.43,89,4.98
7.32,85,4.88
7.24,106,5.69
9.55,117,11.13
6.48,137,5.49
9.08,119,10.38
8.09,114,7.42
7.26,120,5.87
9.63,99,10.45
6.92,86,3.38
7.16,92,4.88
9.21,94,8.78
9.57,123,10.44
6.91,114,4.86
9.27,148,11.44
7.67,97,5.57
6.48,107,3.73
8.08,136,8.66
7.45,157,7.29
7.14,82,3.87
8.44,120,8.28
6.58,119,4.76
9.94,99,10.9
6.95,138,6.68
7.47,130,7.23
6.36,146,6.62
7.28,94,4.81
8.71,81,6.72
8.05,98,5.97
8.76,110,8.76
9.75,91,9.16
9.7,150,12.24
7.03,132,6.27
8.12,99,7.34
6.37,151,5.92
7.36,107,5.96
8.9,151,10.98
8.57,86,7.11
6.65,151,6.5
6.02,92,1.78
8.19,135,8.03
8.85,98,8.43
7.3,139,7.53
8.63,125,9.22
6.37,109,3.25
9.89,111,10.42
9.57,130,11.15
8.31,119,8.8
6.78,137,5.37
9.76,156,13.06
9.66,109,10.51
9.85,148,12.56
7.18,110,5.14
6.68,124,5.49
9.74,135,11.29
8.46,159,10.45
6.56,121,4.85
8.79,136,10.16
7.44,103,5.79
9.47,153,12.35
8.05,120,7.89
8.81,143,10.84
9.56,107,9.58
8.31,82,6.1
7.86,123,7.71
6.12,82,1.03
9.29,108,9.51
9.08,97,7.97
8.49,86,6.8
8.16,130,7.99
8.9,158,10.19
9.18,101,9.0
7.76,86,5.57
7.64,93,5.86
6.63,100,4.64
8.64,102,8.08
9.82,139,13.15
7.68,99,6.33
7.42,140,7.56
7.9,87,6.04
7.97,117,7.16
7.59,129,6.51
8.54,83,7.45
8.01,148,8.2
8.63,93,7.51
6.11,126,3.72
9.76,126,12.11
7.83,123,6.69
9.77,110,10.68
6.28,105,3.0
9.38,81,8.02
6.47,135,5.61
8.52,150,10.45
7.13,94,4.77
9.0,144,10.69
7.49,142,7.64
7.36,154,7.81
9.0,140,11.05
6.41,152,6.57
7.28,151,7.62
7.56,80,4.78
9.8,125,11.28
8.53,115,7.81
8.69,140,9.27
9.17,143,10.98
6.23,123,3.66
7.77,151,8.18
6.57,140,5.48
8.47,88,6.96
6.29,145,5.08
8.82,86,6.72
9.25,155,11.05
9.94,140,12.02
9.11,124,9.81
7.7,152,8.49
6.05,117,2.95
6.23,89,2.57
8.98,126,9.35
9.85,109,11.0
6.89,157,6.93
6.05,157,5.56
6.3,124,4.31
9.88,121,12.04
7.82,130,8.12
8.34,152,10.87
7.11,95,4.07
7.85,108,6.22
9.9,158,13.28
8.79,122,9.66
8.74,93,7.34
9.64,145,11.37
9.73,149,13.33
6.18,82,2.55
9.95,92,9.77
8.38,110,7.7
7.66,101,6.49
9.08,155,11.43
9.4,99,8.72
9.82,128,11.47
6.91,133,5.2
6.45,133,5.69
8.08,141,9.3
8.21,124,8.15
9.51,112,10.44
8.82,97,8.67
6.55,81,3.18
7.57,114,5.46
9.62,107,10.84
9.45,155,11.3
7.84,158,9.05
7.97,106,6.09
6.3,90,2.93
6.51,92,3.3
6.73,107,3.84
9.59,117,10.04
6.77,83,3.44
